id,asset,year,scenario,period_block_start,period_block_end,solution
459,hydro_reservoir,2030,1,94,94,246.9117330265543
460,hydro_reservoir,2030,1,95,95,246.68373089198633
461,hydro_reservoir,2030,1,96,96,246.30694149666522
462,hydro_reservoir,2030,1,97,97,246.60739189621754
463,hydro_reservoir,2030,1,98,98,246.91816846137044
464,hydro_reservoir,2030,1,99,99,246.79994942472766
465,hydro_reservoir,2030,1,100,100,246.54705837627708
466,hydro_reservoir,2030,1,101,101,246.69009288842096
467,hydro_reservoir,2030,1,102,102,246.57187385177818
468,hydro_reservoir,2030,1,103,103,246.47084017203082
469,hydro_reservoir,2030,1,104,104,247.01971349175392
470,hydro_reservoir,2030,1,105,105,246.87614420802566
471,hydro_reservoir,2030,1,106,106,247.36877657998238
472,hydro_reservoir,2030,1,107,107,247.2114879337578
473,hydro_reservoir,2030,1,108,108,246.2120329299773
474,hydro_reservoir,2030,1,109,109,245.3678195606279
475,hydro_reservoir,2030,1,110,110,245.84666900133618
476,hydro_reservoir,2030,1,111,111,245.08970154653184
477,hydro_reservoir,2030,1,112,112,244.5040671743285
478,hydro_reservoir,2030,1,113,113,244.30939875044024
479,hydro_reservoir,2030,1,114,114,244.50609902736585
480,hydro_reservoir,2030,1,115,115,244.6053338849871
481,hydro_reservoir,2030,1,116,116,245.0292479646209
482,hydro_reservoir,2030,1,117,117,243.63588386830514
483,hydro_reservoir,2030,1,118,118,242.37228960488622
484,hydro_reservoir,2030,1,119,119,242.775362839604
485,hydro_reservoir,2030,1,120,120,241.86169554383983
486,hydro_reservoir,2030,1,121,121,241.55757749313415
487,hydro_reservoir,2030,1,122,122,240.89715873806847
488,hydro_reservoir,2030,1,123,123,240.42262737628482
489,hydro_reservoir,2030,1,124,124,240.44446240764066
490,hydro_reservoir,2030,1,125,125,240.36914015726725
491,hydro_reservoir,2030,1,126,126,240.25578361335008
492,hydro_reservoir,2030,1,127,127,238.94913974846796
493,hydro_reservoir,2030,1,128,128,238.487402263875
494,hydro_reservoir,2030,1,129,129,237.85759648979672
495,hydro_reservoir,2030,1,130,130,237.4626160623305
496,hydro_reservoir,2030,1,131,131,237.71159335753873
