base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
conicalb_cross,300,4,193.1878179,0.7850657,1.5964561,1.4466665,0.2026365,197.2186427,0.7168692147946335,67.0,1.3535413744505216
conicalb_cross,450,4,335.2899474,1.0453432,2.1381249,2.0647162,0.5245477,341.06267940000004,0.14979675191105415,25.0,0.2907945135621759
conicalb_per,20,4,3.6358905,0.5028635,0.923138,0.0334066,0.0262272,5.1215258,9.441344365309709,539.0,17.66722324874809
conicalb_per,40,4,8.0830419,0.4388121,0.9187813,0.0638565,0.0453644,9.5498562,0.012966311433446379,4.0,0.028125736292303527
conicalb_per,60,4,8.4852737,0.4746024,0.9471898,0.1271774,0.0495068,10.083750100000001,0.013201495992496414,4.0,0.028801805295449956
conicalb_per,80,4,11.6025502,0.5185481,0.8994456,0.1708952,0.0704744,13.2619135,0.013231691625936712,4.0,0.02901624865804897
conicalb_per,100,4,15.6769327,0.5114009,0.891769,0.2746962,0.0711498,17.4259486,0.013177206975065577,4.0,0.029039742549481273
conicalb_per,150,4,19.4447096,0.5797693,1.0234488,0.4431164,0.0999954,21.5910395,0.013244667976077321,4.0,0.029186849482399024
conicalb_per,300,4,38.4142405,0.6892001,1.4073187,1.0566438,0.2035462,41.7709493,0.013503528188280175,5.0,0.02961491621431711
conicalb_per,450,4,58.5950907,0.7884477,2.2634172,2.1487809,0.3078344,64.1035709,0.013623082649058368,6.0,0.02991534769146198
0_HourlyBenchmark,1,5,0.0,5.3104274,12.6669821,24.944674,3.2392704,46.1613539,0.0,0.0,0.0
convex_cross,20,5,21.258722,0.4202593,0.8234998,0.0271276,0.0246098,22.5542185,17.998976748226855,963.0,33.62923142799407
convex_cross,40,5,31.2093352,0.4772338,0.9011942,0.0734836,0.0342757,32.69552250000001,0.04747989237116401,12.0,0.09297193567079498
convex_cross,60,5,44.3882934,0.5208395,0.8491485,0.129695,0.0538737,45.941850099999996,0.04882515577192067,12.0,0.09538559324454932
convex_cross,80,5,62.7897121,0.4555808,0.9143908,0.1707153,0.0606975,64.3910965,0.1076064867640442,16.0,0.20445737621219973
convex_cross,100,5,74.7356733,0.5191394,0.9311069,0.2135163,0.0706328,76.4700687,0.1075397016488541,16.0,0.2043445902021792
convex_cross,150,5,100.8531916,0.570245,1.0701185,0.469894,0.1069545,103.0704036,0.09832251361126879,16.0,0.18755201588955916
convex_cross,300,5,218.5261226,0.8293331,1.6918865,1.1569431,0.1987143,222.40299960000004,0.08353532221911324,15.0,0.16035142190387663
convex_cross,450,5,369.7975865,1.036015,2.4973472,1.6462862,0.303794,375.2810289,0.014739764878960247,6.0,0.030325621798786617
convex_per,20,5,1.4070298,0.4770978,0.8809393,0.0309071,0.0244226,2.8203966,2.228736573627728,176.0,4.157212470721707
convex_per,40,5,4.4145618,0.5143114,1.1044388,0.058056,0.0392893,6.1306573,2.8623714106932034,226.0,5.363684402971799
convex_per,60,5,6.2974227,0.5623121,0.9832517,0.1284486,0.0508485,8.0222836,0.037427514032237916,11.0,0.07500306997778816
convex_per,80,5,10.8906601,0.4888918,0.8344168,0.1590117,0.064488,12.4374684,0.039169935707228626,11.0,0.07807870161938402
convex_per,100,5,11.7872832,0.5267802,0.9609581,0.2915373,0.073517,13.640075799999998,0.039050131451634836,11.0,0.07787206701301863
