base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
conicalb_cross,300,3,Gurobi,202.2122266,0.7970003,1.6735129,0.7405368,0.2061227,554.8293467671824,OPTIMAL,0,0.0,50400,43205,0.1497615,580.8946486987535,OPTIMAL,3,0.05460280989377364
conicalb_cross,450,3,Gurobi,301.4772279,0.9341909,2.2949026,1.5186491,0.3371731,553.1855531448182,OPTIMAL,0,0.0,75600,64805,0.1417906,580.9527784721759,OPTIMAL,3,0.05500126624532964
conicalb_per,20,3,Gurobi,3.7488375,0.424586,0.8032387,0.039803,0.0254319,455.9991489333679,OPTIMAL,0,0.0,3360,2885,0.2992048,9329.544570267377,OPTIMAL,788,29.255900491717163
conicalb_per,40,3,Gurobi,5.8081078,0.473541,0.8691118,0.0655973,0.0390861,526.9359609376145,OPTIMAL,0,0.0,6720,5765,0.1712187,953.5554650295564,OPTIMAL,74,1.3134018530808207
conicalb_per,60,3,Gurobi,11.2985175,0.4371894,0.8480551,0.1208555,0.0477042,532.4056655823285,OPTIMAL,0,0.0,10080,8645,0.1444401,963.1674053369467,OPTIMAL,75,1.3450598151187056
conicalb_per,80,3,Gurobi,11.3132108,0.4839131,0.9301325,0.1660214,0.0620504,553.5928425634281,OPTIMAL,0,0.0,13440,11525,0.1550317,567.7305022394416,OPTIMAL,1,0.008811898481372094
conicalb_per,100,3,Gurobi,14.3847436,0.5370906,1.0771591,0.2308686,0.0737239,556.304335096725,OPTIMAL,0,0.0,16800,14405,0.1453383,567.8664275330302,OPTIMAL,1,0.009186800710792475
conicalb_per,150,3,Gurobi,20.170468,0.5034832,1.1450863,0.4272403,0.1227282,557.5254498503215,OPTIMAL,0,0.0,25200,21605,0.1401603,567.8929913234638,OPTIMAL,1,0.009302671186407485
conicalb_per,300,3,Gurobi,42.0197449,0.6089395,1.5066266,1.0414237,0.2030725,559.8651403108547,OPTIMAL,0,0.0,50400,43205,0.1562516,568.1917618083435,OPTIMAL,1,0.0103386064129658
conicalb_per,450,3,Gurobi,59.8722515,0.8024714,2.1873531,1.5088979,0.3516572,559.7495613722443,OPTIMAL,0,0.0,75600,64805,0.1949515,568.2807082116085,OPTIMAL,1,0.01064185488464231
0_HourlyBenchmark,1,4,Gurobi,0.0,5.1774644,13.0093196,21.6048907,5.1482186,560.1697467575464,OPTIMAL,0,0.0,613200,525605,0.0,0.0,,0,0.0
convex_cross,20,4,Gurobi,19.7226077,0.3629265,0.7329167,0.0257222,0.021585,557.1296142371042,OPTIMAL,0,0.0,3360,2885,0.3795465,946.3664652903361,OPTIMAL,66,1.3028387116704825
convex_cross,40,4,Gurobi,31.8894936,0.491061,0.8648483,0.0526296,0.0349036,555.4838227775897,OPTIMAL,0,0.0,6720,5765,0.1651817,948.6375408863473,OPTIMAL,66,1.3103602151860383
